Ensembl	Gene_Name	ProbeID	Average_RMA	p.value	Fold_Change	q.value	DE	Probes_per_gene	Multiple_probes 	Biotype	Chr	Gene_start	Gene_Description
ENSMUSG00000030180	Kdm5a	1452360_a_at	7.36	9.8376E-02	0.85	1.5130E-01	0	4	N/A	protein_coding	6	120314137	lysine (K)-specific demethylase 5A Gene [Source:MGI (curated);Acc:MGI:2136980]
ENSMUSG00000078137	Gm1337	1443287_at	10.30	9.8521E-02	1.16	1.5145E-01	0	1	N/A	protein_coding	2	118524839	predicted gene 1337 Gene [Source:MGI Symbol;Acc:MGI:2686183]
ENSMUSG00000074182	Znhit6	1454214_a_at	7.97	9.8519E-02	0.93	1.5145E-01	0	1	N/A	protein_coding	3	145239200	"zinc finger, HIT type 6 Gene [Source:MGI Symbol;Acc:MGI:1916996]"
ENSMUSG00000079487	Med12	1425585_at	8.09	9.8621E-02	0.94	1.5158E-01	0	1	N/A	protein_coding	X	98469369	"mediator of RNA polymerase II transcription, subunit 12 homolog (yeast) Gene [Source:MGI (curated);Acc:MGI:1926212]"
ENSMUSG00000021798	Ldb3	1433783_at	6.87	9.8708E-02	0.91	1.5169E-01	0	2	N/A	protein_coding	14	35339885	LIM domain binding 3 Gene [Source:MGI Symbol;Acc:MGI:1344412]
ENSMUSG00000027276	Jag1	1434070_at	6.64	9.8731E-02	1.13	1.5170E-01	0	1	N/A	protein_coding	2	136907192	jagged 1 Gene [Source:MGI (curated);Acc:MGI:1095416]
ENSMUSG00000044811	Cd300d	1428018_a_at	6.95	9.8833E-02	1.05	1.5183E-01	0	1	N/A	protein_coding	11	114858035	CMRF35-like molecule Precursor (CLM)(Myeloid-associated immunoglobulin-like receptor 2)(MAIR-2)(MAIR-II)(Leukocyte mono-Ig-like receptor 2)(Immunoglobulin superfamily member 7)(IgSF7)(Dendritic cell-derived Ig-like receptor 1)(DIgR1) [Source:UniProtKB/Swiss-Prot;Acc:Q7TSN2]
ENSMUSG00000027361	Gabpb1	1419761_a_at	6.70	9.8866E-02	1.07	1.5185E-01	0	2	N/A	protein_coding	2	126453178	"GA repeat binding protein, beta 1 Gene [Source:MGI (curated);Acc:MGI:95611]"
ENSMUSG00000079036	Alkbh1	1434660_at	7.48	9.9021E-02	0.96	1.5200E-01	0	2	N/A	protein_coding	12	88767119	"alkB, alkylation repair homolog 1 (E. coli) Gene [Source:MGI (curated);Acc:MGI:2384034]"
ENSMUSG00000020091	Eif4ebp2	1417084_at	6.99	9.9033E-02	1.14	1.5200E-01	0	1	N/A	protein_coding	10	60895243	eukaryotic translation initiation factor 4E binding protein 2 Gene [Source:MGI Symbol;Acc:MGI:109198]
ENSMUSG00000074579	Lekr1	1456265_at	5.97	9.9066E-02	0.88	1.5200E-01	0	1	N/A	protein_coding	3	65470150	"leucine, glutamate and lysine rich 1 Gene [Source:MGI Symbol;Acc:MGI:3645902]"
ENSMUSG00000041229	Phf8	1460398_at	8.01	9.8999E-02	1.05	1.5200E-01	0	2	N/A	protein_coding	X	147955215	PHD finger protein 8 Gene [Source:MGI (curated);Acc:MGI:2444341]
ENSMUSG00000042298	Ttc19	1427114_at	9.49	9.9054E-02	0.95	1.5200E-01	0	3	N/A	protein_coding	11	62094975	tetratricopeptide repeat domain 19 Gene [Source:MGI (curated);Acc:MGI:1920045]
ENSMUSG00000001891	Ugp2	1426460_a_at	7.95	9.9009E-02	0.92	1.5200E-01	0	4	N/A	protein_coding	11	21221141	UDP-glucose pyrophosphorylase 2 Gene [Source:MGI (curated);Acc:MGI:2183447]
ENSMUSG00000021109	Hif1a	1448183_a_at	7.69	9.9104E-02	0.93	1.5203E-01	0	3	N/A	protein_coding	12	75002362	"hypoxia inducible factor 1, alpha subunit Gene [Source:MGI (curated);Acc:MGI:106918]"
ENSMUSG00000087143	RP23-471B6.2	1444007_at	5.17	9.9129E-02	0.91	1.5204E-01	0	1	N/A	processed_transcript	13	78337278	N/A
ENSMUSG00000051278	4930422G04Rik	1453038_at	6.45	9.9191E-02	0.93	1.5211E-01	0	1	N/A	protein_coding	3	127256407	RIKEN cDNA 4930422G04 gene Gene [Source:MGI Symbol;Acc:MGI:1918893]
ENSMUSG00000046111	5830418K08Rik	1456296_at	6.49	9.9315E-02	0.87	1.5224E-01	0	2	N/A	protein_coding	9	15121359	RIKEN cDNA 5830418K08 gene Gene [Source:MGI Symbol;Acc:MGI:2442521]
ENSMUSG00000026283	Ing5	1431134_at	4.95	9.9311E-02	1.08	1.5224E-01	0	3	N/A	protein_coding	1	95700542	"inhibitor of growth family, member 5 Gene [Source:MGI Symbol;Acc:MGI:1922816]"
ENSMUSG00000050552	0910001L09Rik	1434214_at	9.45	9.9478E-02	0.94	1.5247E-01	0	1	N/A	protein_coding	5	138696836	RIKEN cDNA 0910001L09 gene Gene [Source:MGI Symbol;Acc:MGI:1913346]
ENSMUSG00000024732	Ccdc86	1454197_a_at	6.67	9.9537E-02	0.93	1.5251E-01	0	1	N/A	protein_coding	19	11015971	coiled-coil domain containing 86 Gene [Source:MGI (curated);Acc:MGI:1277220]
ENSMUSG00000021268	Meg3	1436057_at	10.72	9.9539E-02	0.91	1.5251E-01	0	8	N/A	processed_transcript	12	110779211	maternally expressed 3 Gene [Source:MGI (curated);Acc:MGI:1202886]
ENSMUSG00000026004	1110028C15Rik	1436213_a_at	4.09	9.9575E-02	1.07	1.5253E-01	0	2	N/A	protein_coding	1	66765822	RIKEN cDNA 1110028C15 gene Gene [Source:MGI Symbol;Acc:MGI:1915941]
ENSMUSG00000027475	Kif3b	1450073_at	7.84	9.9597E-02	1.08	1.5254E-01	0	3	N/A	protein_coding	2	153117149	kinesin family member 3B Gene [Source:MGI (curated);Acc:MGI:107688]
ENSMUSG00000054226	Tprkb	1425682_a_at	9.97	9.9633E-02	0.88	1.5257E-01	0	3	N/A	protein_coding	6	85865732	Tp53rk binding protein Gene [Source:MGI (curated);Acc:MGI:1917036]
ENSMUSG00000075470	Alg10b	1437879_at	7.84	9.9682E-02	1.07	1.5262E-01	0	1	N/A	protein_coding	15	90054742	"asparagine-linked glycosylation 10 homolog B (yeast, alpha-1,2-glucosyltransferase) Gene [Source:MGI Symbol;Acc:MGI:2146159]"
ENSMUSG00000037152	Ndufc1	1448284_a_at	11.28	9.9748E-02	0.91	1.5264E-01	0	2	N/A	protein_coding	3	51208599	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1 Gene [Source:MGI (curated);Acc:MGI:1913627]"
ENSMUSG00000024099	Ndufv2	1428179_at	11.93	9.9717E-02	1.05	1.5264E-01	0	3	N/A	protein_coding	17	66428135	NADH dehydrogenase (ubiquinone) flavoprotein 2 Gene [Source:MGI (curated);Acc:MGI:1920150]
ENSMUSG00000039194	Rlbp1	1418310_a_at	7.49	9.9742E-02	1.10	1.5264E-01	0	1	N/A	protein_coding	7	86519755	retinaldehyde binding protein 1 Gene [Source:MGI Symbol;Acc:MGI:97930]
ENSMUSG00000046982	Tshz1	1427232_at	8.84	9.9790E-02	1.09	1.5268E-01	0	2	N/A	protein_coding	18	83653127	teashirt zinc finger family member 1 Gene [Source:MGI Symbol;Acc:MGI:1346031]
ENSMUSG00000042506	Usp22	1456043_at	9.29	9.9837E-02	0.92	1.5272E-01	0	2	N/A	protein_coding	11	60965287	ubiquitin specific peptidase 22 Gene [Source:MGI (curated);Acc:MGI:2144157]
ENSMUSG00000037370	Enpp1	1440339_at	5.36	9.9880E-02	1.12	1.5276E-01	0	2	N/A	protein_coding	10	24357720	ectonucleotide pyrophosphatase/phosphodiesterase 1 Gene [Source:MGI (curated);Acc:MGI:97370]
ENSMUSG00000072893	RP23-210M6.5	1452696_a_at	8.36	9.9896E-02	0.93	1.5276E-01	0	2	N/A	processed_transcript	11	59319164	"RIKEN cDNA 4933439C10 gene (4933439C10Rik), non-coding RNA [Source:RefSeq DNA;Acc:NR_015585]"
ENSMUSG00000015750	Aph1a	1424979_at	7.37	1.0002E-01	0.95	1.5287E-01	0	2	N/A	protein_coding	3	95697892	anterior pharynx defective 1a homolog (C. elegans) Gene [Source:MGI Symbol;Acc:MGI:2385110]
ENSMUSG00000020599	Rgs9	1418691_at	11.19	1.0002E-01	1.13	1.5287E-01	0	2	N/A	protein_coding	11	109086669	regulator of G-protein signaling 9 Gene [Source:MGI (curated);Acc:MGI:1338824]
ENSMUSG00000019804	Snx3	1422480_at	11.77	1.0001E-01	1.05	1.5287E-01	0	1	N/A	protein_coding	10	42221836	sorting nexin 3 Gene [Source:MGI (curated);Acc:MGI:1860188]
ENSMUSG00000025218	Poll	1449352_at	5.96	1.0005E-01	1.07	1.5289E-01	0	1	N/A	protein_coding	19	45626765	"polymerase (DNA directed), lambda Gene [Source:MGI Symbol;Acc:MGI:1889000]"
ENSMUSG00000049872	Fam26e	1424680_at	6.26	1.0009E-01	0.88	1.5292E-01	0	1	N/A	protein_coding	10	33809053	"family with sequence similarity 26, member E Gene [Source:MGI Symbol;Acc:MGI:2143897]"
ENSMUSG00000024212	Mllt1	1434805_at	8.19	1.0012E-01	1.09	1.5292E-01	0	2	N/A	protein_coding	17	57032035	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 Gene [Source:MGI Symbol;Acc:MGI:1927238]"
ENSMUSG00000017781	Pitpna	1423283_at	10.95	1.0012E-01	0.94	1.5292E-01	0	2	N/A	protein_coding	11	75401599	"phosphatidylinositol transfer protein, alpha Gene [Source:MGI (curated);Acc:MGI:99887]"
ENSMUSG00000029054	Gabrd	1449980_a_at	9.59	1.0021E-01	1.07	1.5302E-01	0	1	N/A	protein_coding	4	154759089	"gamma-aminobutyric acid (GABA) A receptor, subunit delta Gene [Source:MGI (curated);Acc:MGI:95622]"
ENSMUSG00000022211	Lrrc16b	1436010_at	7.73	1.0024E-01	0.93	1.5303E-01	0	1	N/A	protein_coding	14	56109930	leucine rich repeat containing 16B Gene [Source:MGI Symbol;Acc:MGI:2448573]
ENSMUSG00000021149	Gtpbp4	1423143_at	7.91	1.0026E-01	0.92	1.5304E-01	0	3	N/A	protein_coding	13	8971317	GTP binding protein 4 Gene [Source:MGI Symbol;Acc:MGI:1916487]
ENSMUSG00000053870	Fpgt	1429519_at	8.89	1.0050E-01	1.09	1.5336E-01	0	1	N/A	protein_coding	3	154747885	fucose-1-phosphate guanylyltransferase Gene [Source:MGI Symbol;Acc:MGI:1922790]
ENSMUSG00000024211	Grm8	1421530_a_at	6.93	1.0050E-01	0.93	1.5336E-01	0	1	N/A	protein_coding	6	27225121	"glutamate receptor, metabotropic 8 Gene [Source:MGI (curated);Acc:MGI:1351345]"
ENSMUSG00000024812	Tjp2	1434599_a_at	8.07	1.0059E-01	0.87	1.5347E-01	0	4	N/A	protein_coding	19	24169160	tight junction protein 2 Gene [Source:MGI Symbol;Acc:MGI:1341872]
ENSMUSG00000037731	BC013712	1427041_at	4.86	1.0064E-01	1.06	1.5351E-01	0	1	N/A	protein_coding	4	132337758	Protein THEMIS2 (Thymocyte-expressed molecule involved in selection protein 2)(Induced by contact to basement membrane 1 protein)(Protein ICB-1) [Source:UniProtKB/Swiss-Prot;Acc:Q91YX0]
ENSMUSG00000000326	Comt1	1449183_at	9.90	1.0069E-01	1.07	1.5354E-01	0	2	N/A	protein_coding	16	18407439	catechol-O-methyltransferase 1 Gene [Source:MGI (curated);Acc:MGI:88470]
ENSMUSG00000036667	Fam115a	1430436_at	6.46	1.0068E-01	0.78	1.5354E-01	0	4	N/A	protein_coding	6	42618001	"family with sequence similarity 115, member A Gene [Source:MGI (curated);Acc:MGI:1914665]"
ENSMUSG00000030302	Atp2b2	1433888_at	11.68	1.0077E-01	1.08	1.5359E-01	0	3	N/A	protein_coding	6	113695663	"ATPase, Ca++ transporting, plasma membrane 2 Gene [Source:MGI (curated);Acc:MGI:105368]"
ENSMUSG00000015653	Steap2	1446071_at	5.52	1.0078E-01	0.80	1.5359E-01	0	3	N/A	protein_coding	5	5665954	six transmembrane epithelial antigen of prostate 2 Gene [Source:MGI (curated);Acc:MGI:1921301]
ENSMUSG00000027692	Tnik	1430579_at	9.91	1.0076E-01	0.90	1.5359E-01	0	4	N/A	protein_coding	3	28162136	TRAF2 and NCK interacting kinase Gene [Source:MGI (curated);Acc:MGI:1916264]
ENSMUSG00000039943	Plcb4	1425338_at	7.58	1.0082E-01	0.83	1.5362E-01	0	3	N/A	protein_coding	2	135484747	"phospholipase C, beta 4 Gene [Source:MGI (curated);Acc:MGI:107464]"
ENSMUSG00000018287	Spag7	1433940_at	8.79	1.0086E-01	1.10	1.5366E-01	0	1	N/A	protein_coding	11	70477273	sperm associated antigen 7 Gene [Source:MGI (curated);Acc:MGI:107380]
ENSMUSG00000003970	Rpl8	1417762_a_at	11.81	1.0093E-01	0.94	1.5375E-01	0	1	N/A	protein_coding	15	76734515	ribosomal protein L8 Gene [Source:MGI Symbol;Acc:MGI:1350927]
ENSMUSG00000032245	Cln6	1454837_at	6.77	1.0102E-01	0.94	1.5385E-01	0	1	N/A	protein_coding	9	62686592	"ceroid-lipofuscinosis, neuronal 6 Gene [Source:MGI (curated);Acc:MGI:2159324]"
ENSMUSG00000032487	Ptgs2	1417263_at	5.47	1.0111E-01	1.22	1.5396E-01	0	2	N/A	protein_coding	1	151947254	prostaglandin-endoperoxide synthase 2 Gene [Source:MGI Symbol;Acc:MGI:97798]
ENSMUSG00000038127	Ccdc50	1420523_at	5.94	1.0119E-01	0.93	1.5405E-01	0	3	N/A	protein_coding	16	27388955	coiled-coil domain containing 50 Gene [Source:MGI (curated);Acc:MGI:1914751]
ENSMUSG00000027419	Pcsk2	1448312_at	10.83	1.0130E-01	0.92	1.5418E-01	0	2	N/A	protein_coding	2	143371892	proprotein convertase subtilisin/kexin type 2 Gene [Source:MGI (curated);Acc:MGI:97512]
ENSMUSG00000029512	Ulk1	1416504_at	7.38	1.0131E-01	0.94	1.5418E-01	0	2	N/A	protein_coding	5	111213507	Unc-51 like kinase 1 (C. elegans) Gene [Source:MGI Symbol;Acc:MGI:1270126]
ENSMUSG00000025920	Stau2	1425534_at	9.31	1.0143E-01	0.94	1.5433E-01	0	3	N/A	protein_coding	1	16218755	staufen (RNA binding protein) homolog 2 (Drosophila) Gene [Source:MGI (curated);Acc:MGI:1352508]
ENSMUSG00000054434	Tmem120b	1427324_at	7.20	1.0144E-01	0.95	1.5433E-01	0	1	N/A	protein_coding	5	123518424	transmembrane protein 120B Gene [Source:MGI (curated);Acc:MGI:3603158]
ENSMUSG00000020621	Rdh14	1417438_at	9.45	1.0155E-01	1.05	1.5446E-01	0	1	N/A	protein_coding	12	10397598	retinol dehydrogenase 14 (all-trans and 9-cis) Gene [Source:MGI Symbol;Acc:MGI:1920402]
ENSMUSG00000056895	Hist3h2ba	1449482_at	10.23	1.0159E-01	1.10	1.5450E-01	0	1	N/A	protein_coding	11	58762413	"histone cluster 3, H2ba Gene [Source:MGI (curated);Acc:MGI:1925553]"
ENSMUSG00000005267	Zfp287	1436220_at	8.43	1.0161E-01	1.05	1.5450E-01	0	3	N/A	protein_coding	11	62513858	zinc finger protein 287 Gene [Source:MGI (curated);Acc:MGI:2176561]
ENSMUSG00000020661	Dnmt3a	1460324_at	9.61	1.0163E-01	1.06	1.5452E-01	0	4	N/A	protein_coding	12	3806980	DNA methyltransferase 3A Gene [Source:MGI Symbol;Acc:MGI:1261827]
ENSMUSG00000051495	Irf2bp2	1433634_at	8.51	1.0170E-01	1.12	1.5458E-01	0	2	N/A	protein_coding	8	129114577	interferon regulatory factor 2 binding protein 2 Gene [Source:MGI Symbol;Acc:MGI:2443921]
ENSMUSG00000026141	Col19a1	1421698_a_at	7.67	1.0176E-01	0.80	1.5462E-01	0	1	N/A	protein_coding	1	24268729	"collagen, type XIX, alpha 1 Gene [Source:MGI (curated);Acc:MGI:1095415]"
ENSMUSG00000022629	Kif21a	1450738_at	10.33	1.0175E-01	0.95	1.5462E-01	0	2	N/A	protein_coding	15	90763720	kinesin family member 21A Gene [Source:MGI Symbol;Acc:MGI:109188]
ENSMUSG00000078485	Plekhn1	1435257_at	8.89	1.0182E-01	0.94	1.5468E-01	0	1	N/A	protein_coding	4	155595565	"pleckstrin homology domain containing, family N member 1 Gene [Source:MGI Symbol;Acc:MGI:2387630]"
ENSMUSG00000052707	Tnrc6a	1434898_at	8.49	1.0186E-01	0.92	1.5472E-01	0	4	N/A	protein_coding	7	130267399	trinucleotide repeat containing 6a Gene [Source:MGI Symbol;Acc:MGI:2385292]
ENSMUSG00000039599	Fam149b	1434269_at	7.72	1.0195E-01	0.94	1.5484E-01	0	2	N/A	protein_coding	14	21167384	"family with sequence similarity 149, member B Gene [Source:MGI Symbol;Acc:MGI:2145567]"
ENSMUSG00000043858	Nup62	1415926_at	8.33	1.0197E-01	1.06	1.5484E-01	0	3	N/A	protein_coding	7	52071458	nucleoporin 62 Gene [Source:MGI (curated);Acc:MGI:1351500]
ENSMUSG00000050310	Rictor	1453775_at	6.25	1.0208E-01	0.90	1.5498E-01	0	2	N/A	protein_coding	15	6658383	"RPTOR independent companion of MTOR, complex 2 Gene [Source:MGI Symbol;Acc:MGI:1926007]"
ENSMUSG00000029249	Rest	1425565_at	6.00	1.0212E-01	0.87	1.5501E-01	0	2	N/A	protein_coding	5	77694516	RE1-silencing transcription factor Gene [Source:MGI (curated);Acc:MGI:104897]
ENSMUSG00000016494	Cd34	1416072_at	7.65	1.0213E-01	0.84	1.5501E-01	0	1	N/A	protein_coding	1	196765080	CD34 antigen Gene [Source:MGI Symbol;Acc:MGI:88329]
ENSMUSG00000036990	Otud4	1434468_at	9.52	1.0228E-01	0.93	1.5520E-01	0	3	N/A	protein_coding	8	82163575	OTU domain containing 4 Gene [Source:MGI Symbol;Acc:MGI:1098801]
ENSMUSG00000032606	Nicn1	1449376_at	9.56	1.0234E-01	0.93	1.5524E-01	0	2	N/A	protein_coding	9	108192779	nicolin 1 Gene [Source:MGI Symbol;Acc:MGI:1913507]
ENSMUSG00000026790	Odf2	1426040_a_at	6.42	1.0234E-01	0.90	1.5524E-01	0	2	N/A	protein_coding	2	29744741	outer dense fiber of sperm tails 2 Gene [Source:MGI (curated);Acc:MGI:1098824]
ENSMUSG00000004099	Dnmt1	1422946_a_at	8.51	1.0251E-01	1.06	1.5535E-01	0	1	N/A	protein_coding	9	20711650	DNA methyltransferase (cytosine-5) 1 Gene [Source:MGI Symbol;Acc:MGI:94912]
ENSMUSG00000027751	Fam48a	1434686_at	7.87	1.0254E-01	0.95	1.5535E-01	0	3	N/A	protein_coding	3	54497035	"family with sequence similarity 48, member A Gene [Source:MGI Symbol;Acc:MGI:1929651]"
ENSMUSG00000050592	Fam78a	1433657_at	6.42	1.0248E-01	1.07	1.5535E-01	0	1	N/A	protein_coding	2	31905575	"family with sequence similarity 78, member A Gene [Source:MGI (curated);Acc:MGI:2443569]"
ENSMUSG00000001366	Fbxo9	1417480_at	10.48	1.0255E-01	1.04	1.5535E-01	0	2	N/A	protein_coding	9	77929306	f-box protein 9 Gene [Source:MGI (curated);Acc:MGI:1918788]
ENSMUSG00000034336	Ina	1448992_at	9.86	1.0252E-01	1.08	1.5535E-01	0	3	N/A	protein_coding	19	47089188	"internexin neuronal intermediate filament protein, alpha Gene [Source:MGI (curated);Acc:MGI:96568]"
ENSMUSG00000021646	Mccc2	1432472_a_at	7.27	1.0245E-01	1.07	1.5535E-01	0	3	N/A	protein_coding	13	100718488	methylcrotonoyl-Coenzyme A carboxylase 2 (beta) Gene [Source:MGI Symbol;Acc:MGI:1925288]
ENSMUSG00000020380	Rad50	1422630_at	7.92	1.0252E-01	0.95	1.5535E-01	0	1	N/A	protein_coding	11	53463021	RAD50 homolog (S. cerevisiae) Gene [Source:MGI (curated);Acc:MGI:109292]
ENSMUSG00000039715	Wdr34	1429174_at	7.56	1.0256E-01	0.93	1.5535E-01	0	1	N/A	protein_coding	2	29887066	WD repeat domain 34 Gene [Source:MGI (curated);Acc:MGI:1919070]
ENSMUSG00000005338	Cadm3	1418922_at	9.29	1.0268E-01	1.12	1.5543E-01	0	3	N/A	protein_coding	1	175264385	cell adhesion molecule 3 Gene [Source:MGI (curated);Acc:MGI:2137858]
ENSMUSG00000019891	Dcbld1	1449291_a_at	7.12	1.0268E-01	1.05	1.5543E-01	0	2	N/A	protein_coding	10	51953425	"discoidin, CUB and LCCL domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1913936]"
ENSMUSG00000070527	Mkrn3	1418160_at	4.31	1.0264E-01	1.09	1.5543E-01	0	1	N/A	protein_coding	7	69563293	"makorin, ring finger protein, 3 Gene [Source:MGI Symbol;Acc:MGI:2181178]"
ENSMUSG00000051007	Pddc1	1441967_at	7.75	1.0267E-01	1.08	1.5543E-01	0	1	N/A	protein_coding	7	148594034	Parkinson disease 7 domain containing 1 Gene [Source:MGI (curated);Acc:MGI:2387178]
ENSMUSG00000029312	Klhl8	1433526_at	7.78	1.0281E-01	0.93	1.5557E-01	0	2	N/A	protein_coding	5	104290992	kelch-like 8 (Drosophila) Gene [Source:MGI (curated);Acc:MGI:2179430]
ENSMUSG00000027977	Ndst3	1453777_a_at	4.92	1.0280E-01	0.87	1.5557E-01	0	1	N/A	protein_coding	3	123229084	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3 Gene [Source:MGI (curated);Acc:MGI:1932544]
ENSMUSG00000045038	Prkce	1449956_at	10.33	1.0286E-01	1.14	1.5562E-01	0	2	N/A	protein_coding	17	86567125	"protein kinase C, epsilon Gene [Source:MGI (curated);Acc:MGI:97599]"
ENSMUSG00000028444	Cntfr	1419429_at	8.31	1.0295E-01	1.11	1.5572E-01	0	1	N/A	protein_coding	4	41604529	ciliary neurotrophic factor receptor Gene [Source:MGI (curated);Acc:MGI:99605]
ENSMUSG00000036158	Prickle1	1452249_at	9.83	1.0300E-01	0.92	1.5577E-01	0	1	N/A	protein_coding	15	93329545	prickle homolog 1 (Drosophila) Gene [Source:MGI (curated);Acc:MGI:1916034]
ENSMUSG00000029712	Actl6b	1422564_at	9.19	1.0312E-01	0.93	1.5590E-01	0	1	N/A	protein_coding	5	137994745	actin-like 6B Gene [Source:MGI (curated);Acc:MGI:1933548]
ENSMUSG00000031626	Sorbs2	1441624_at	8.27	1.0311E-01	0.92	1.5590E-01	0	2	N/A	protein_coding	8	46593148	sorbin and SH3 domain containing 2 Gene [Source:MGI (curated);Acc:MGI:1924574]
ENSMUSG00000020167	Tcf3	1426297_at	7.57	1.0322E-01	1.05	1.5603E-01	0	1	N/A	protein_coding	10	79872259	transcription factor 3 Gene [Source:MGI (curated);Acc:MGI:98510]
ENSMUSG00000023827	Agpat4	1428336_at	8.82	1.0330E-01	0.92	1.5610E-01	0	1	N/A	protein_coding	17	12312150	"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta) Gene [Source:MGI Symbol;Acc:MGI:1915512]"
ENSMUSG00000025757	Hspa4l	1449010_at	9.88	1.0331E-01	0.93	1.5610E-01	0	6	N/A	protein_coding	3	40548417	heat shock protein 4 like Gene [Source:MGI (curated);Acc:MGI:107422]
ENSMUSG00000025743	Sdc3	1436482_a_at	7.81	1.0338E-01	0.92	1.5619E-01	0	2	N/A	protein_coding	4	130348452	syndecan 3 Gene [Source:MGI (curated);Acc:MGI:1349163]
ENSMUSG00000063334	Krr1	1428084_at	9.03	1.0348E-01	0.95	1.5628E-01	0	3	N/A	protein_coding	10	111409720	"KRR1, small subunit (SSU) processome component, homolog (yeast) Gene [Source:MGI (curated);Acc:MGI:1289274]"
ENSMUSG00000031447	Lamp1	1415880_a_at	11.55	1.0353E-01	1.07	1.5628E-01	0	1	N/A	protein_coding	8	13159272	lysosomal-associated membrane protein 1 Gene [Source:MGI Symbol;Acc:MGI:96745]
ENSMUSG00000024493	Lars	1448403_at	9.11	1.0351E-01	0.94	1.5628E-01	0	1	N/A	protein_coding	18	42362004	leucyl-tRNA synthetase Gene [Source:MGI Symbol;Acc:MGI:1913808]
ENSMUSG00000045515	Pou3f3	1429857_at	7.39	1.0355E-01	1.13	1.5628E-01	0	3	N/A	protein_coding	1	42753991	"POU domain, class 3, transcription factor 3 Gene [Source:MGI (curated);Acc:MGI:102564]"
ENSMUSG00000084067	RP23-321D1.4	1456349_x_at	3.26	1.0356E-01	0.93	1.5628E-01	0	1	N/A	pseudogene	2	170289014	N/A
ENSMUSG00000089509	SNORD113	1440001_at	9.06	1.0357E-01	0.82	1.5628E-01	0	1	N/A	snoRNA	12	110871978	Small nucleolar RNA SNORD113/SNORD114 family  [Source:RFAM;Acc:RF00181]
ENSMUSG00000033253	Szt2	1435279_at	8.11	1.0350E-01	0.92	1.5628E-01	0	1	N/A	protein_coding	4	118035348	seizure threshold 2 Gene [Source:MGI (curated);Acc:MGI:3033336]
ENSMUSG00000033849	B3galt2	1437644_at	3.57	1.0364E-01	0.89	1.5633E-01	0	3	N/A	protein_coding	1	145487794	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2 Gene [Source:MGI (curated);Acc:MGI:1349461]"
ENSMUSG00000074736	Tmem90b	1437392_at	9.58	1.0364E-01	0.95	1.5633E-01	0	1	N/A	protein_coding	2	149654947	transmembrane protein 90B Gene [Source:MGI (curated);Acc:MGI:3702158]
ENSMUSG00000005804	Pldn	1417349_at	9.78	1.0368E-01	1.05	1.5637E-01	0	3	N/A	protein_coding	2	122564239	pallidin Gene [Source:MGI (curated);Acc:MGI:1927580]
ENSMUSG00000037843	Vstm2l	1455714_at	10.28	1.0371E-01	0.93	1.5639E-01	0	1	N/A	protein_coding	2	157740389	V-set and transmembrane domain containing 2-like Gene [Source:MGI (curated);Acc:MGI:2685537]
ENSMUSG00000043004	Gng2	1418452_at	8.11	1.0374E-01	0.89	1.5641E-01	0	3	N/A	protein_coding	14	20691781	"guanine nucleotide binding protein (G protein), gamma 2 Gene [Source:MGI (curated);Acc:MGI:102705]"
ENSMUSG00000005983	1700037C18Rik	1430188_at	6.60	1.0380E-01	0.94	1.5647E-01	0	1	N/A	protein_coding	16	3895181	RIKEN cDNA 1700037C18 gene Gene [Source:MGI Symbol;Acc:MGI:1920511]
ENSMUSG00000031358	Msl3	1448645_at	8.37	1.0395E-01	0.96	1.5658E-01	0	1	N/A	protein_coding	X	165092049	male-specific lethal 3 homolog (Drosophila) Gene [Source:MGI (curated);Acc:MGI:1341851]
ENSMUSG00000031284	Pak3	1417924_at	8.15	1.0394E-01	0.79	1.5658E-01	0	4	N/A	protein_coding	X	139953134	p21 protein (Cdc42/Rac)-activated kinase 3 Gene [Source:MGI (curated);Acc:MGI:1339656]
ENSMUSG00000018379	Sfrs1	1428099_a_at	10.45	1.0394E-01	0.95	1.5658E-01	0	3	N/A	protein_coding	11	87860875	"splicing factor, arginine/serine-rich 1 (ASF/SF2) Gene [Source:MGI (curated);Acc:MGI:98283]"
ENSMUSG00000003435	Supt5h	1424255_at	10.36	1.0393E-01	0.95	1.5658E-01	0	1	N/A	protein_coding	7	29099917	suppressor of Ty 5 homolog (S. cerevisiae) Gene [Source:MGI Symbol;Acc:MGI:1202400]
ENSMUSG00000060832	Hist1h4j	1431658_at	4.35	1.0422E-01	1.13	1.5697E-01	0	1	N/A	protein_coding	13	21826931	"histone cluster 1, H4j Gene [Source:MGI (curated);Acc:MGI:2448436]"
ENSMUSG00000054679	Sfrs13b	1437168_at	8.10	1.0427E-01	1.07	1.5701E-01	0	1	N/A	protein_coding	4	33295966	"splicing factor, arginine/serine-rich 13B Gene [Source:MGI (curated);Acc:MGI:2661424]"
ENSMUSG00000029775	Klhdc10	1428771_at	7.04	1.0455E-01	0.92	1.5741E-01	0	3	N/A	protein_coding	6	30351868	kelch domain containing 10 Gene [Source:MGI (curated);Acc:MGI:1924038]
